830715 | 05BQ11 Dec 21 22:14:08 05 | L01 D1         |  2:25:58.4  -4:30:27 2000 |  225 | g | 1.18 | 0.97 0.95   385 |P 1 V Q|	 2547 |
774755 | 04BQ05 Dec 16 20:28:51 04 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  225 | g | 1.11 | 0.79 0.84   866 |P 1 V Q|	 2177 |
864327 | 06BQ01 Sep 01 03:39:11 06 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  225 | g | 1.11 | 0.84 0.89   367 |P 1 V Q|	 2801 |
820815 | 05BQ07 Nov 01 00:49:56 05 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  225 | g | 1.12 | 0.84 0.86   411 |P 1 V D|	 2497 |
882876 | 06BQ08 Dec 11 22:55:00 06 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  225 | g | 1.18 | 0.91 0.93   348 |P 1 V Q|	 2902 |
863563 | 06BQ01 Aug 24 02:32:04 06 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  225 | g | 1.31 | 0.77 0.80   384 |A 1 V Q|	 2793 |
948140 | 07BQ06 Oct 15 03:39:18 07 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  300 | g | 1.35 | 1.34 1.36   673 |A 5 O Q|	 3210 |
871647 | 06BQ03 Sep 21 03:13:23 06 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  300 | r | 1.10 | 0.63 0.65   738 |P 1 V Q|	 2821 |
820810 | 05BQ07 Nov 01 00:21:51 05 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  300 | r | 1.10 | 0.66 0.69  1093 |A 1 V D|	 2497 |
863502 | 06BQ01 Aug 23 04:40:45 06 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  300 | r | 1.10 | 0.70 0.73   647 |A 2 V Q|	 2792 |
863497 | 06BQ01 Aug 23 04:11:37 06 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  300 | r | 1.11 | 0.77 0.82   628 |A 2 V Q|	 2792 |
830710 | 05BQ11 Dec 21 21:45:26 05 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  300 | r | 1.13 | 0.73 0.71   663 |P 1 V Q|	 2547 |
774749 | 04BQ05 Dec 16 19:58:38 04 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  300 | r | 1.15 | 0.68 0.74   984 |P 1 V Q|	 2177 |
